percent,projected
20.26252521,seven
22.86262629,seven
21.68012154,seven
12.10101068,seven
19.50514031,seven
19.65120992,seven
19.66363054,seven
19.09308038,seven
17.55242468,seven
8.309965198,eight
11.11576504,eight
10.93357042,eight
9.414330368,eight
9.561624607,eight
11.56786571,eight
14.53119047,eight
13.6144669,eight
12.883022,eight
12.48498454,eight
13.37153205,eight
13.96033938,eight
14.70827112,eight
12.91396856,eight
11.47093831,eight
14.11903848,eight
15.62361631,eight
13.76150535,eight
14.33813791,eight
17.96466273,eight
-42.99686505,eight
-13.47395235,eight
11.14865472,eight
16.26228532,eight
16.13879016,eight
16.91236731,eight
18.97567544,eight
19.45533063,eight
18.22458718,eight
18.00225441,eight
18.23705111,eight
17.1090348,eight
16.18848565,eight
17.4350023,eight
18.35770694,eight
15.23560255,eight
12.66532471,eight
9.510671339,eight
9.104198815,eight
7.36491708,eight
6.915661101,eight
10.37779961,eight
11.50034888,eight
13.32582284,eight
21.08644271,eight
12.59792672,eight
21.5093596,eight
20.98283771,eight
23.63622729,eight
21.52179186,eight
14.95307768,eight
20.28477983,eight
21.04809444,eight
20.56099141,eight
19.30339786,eight
18.02904951,eight
8.851923121,nine
11.48136274,nine
10.09797072,nine
8.200161373,nine
8.542199765,nine
10.28318457,nine
13.44201193,nine
11.52985529,nine
13.21922831,nine
13.53379431,nine
11.91251548,nine
12.99539182,nine
12.67323583,nine
12.3739037,nine
11.23165705,nine
15.11735311,nine
15.54572131,nine
12.66979468,nine
13.87061768,nine
16.81091698,nine
-87.59825723,nine
-32.51384405,nine
9.364672751,nine
16.77615913,nine
16.60363611,nine
17.97337347,nine
19.55872797,nine
18.37866581,nine
18.5654761,nine
18.39229914,nine
18.19576167,nine
16.51155754,nine
15.75463958,nine
16.94632869,nine
18.60648973,nine
14.60685807,nine
12.51840351,nine
11.08710745,nine
9.039747118,nine
8.776541889,nine
10.33184003,nine
12.46187132,nine
13.00108632,nine
12.58509225,nine
21.58450665,nine
12.75214078,nine
21.76924467,nine
21.06425756,nine
21.92948537,nine
21.46018502,nine
15.23316124,nine
20.70265746,nine
21.30429351,nine
19.7665808,nine
18.6868216,nine
17.68608758,nine
8.550163886,ten
10.48435227,ten
8.714862261,ten
7.159455947,ten
7.73916824,ten
9.666414291,ten
11.36633819,ten
11.01244243,ten
14.1174306,ten
12.06545267,ten
