"","end_step","forecast_RMSE","persistence_RMSE","percent_improvement","start_step","forecast_horizon","method"
"1",11,0.0606007175996773,0.0442827975783354,-36.8493431167616,10,5,"rigid"
"2",12,0.0822148237412964,0.0942766157828848,12.7940443570506,10,10,"rigid"
"3",13,0.0954456743210808,0.112481638359663,15.1455511201831,10,15,"rigid"
"4",14,0.108787351670665,0.130103464510652,16.383970188774,10,20,"rigid"
"5",15,0.119641217684325,0.142164992607066,15.8434045609211,10,25,"rigid"
"6",16,0.126357632548256,0.148419960109259,14.86479820151,10,30,"rigid"
"7",17,0.134440893199993,0.155651572450215,13.6270253594813,10,35,"rigid"
"8",18,0.139895486101941,0.160106849467133,12.6236718993969,10,40,"rigid"
"9",19,0.148598282869117,0.166343675097268,10.6679092053096,10,45,"rigid"
"10",20,0.149359732881789,0.166734290957122,10.4205067689413,10,50,"rigid"
"11",12,0.0702048848494409,0.0797048486237814,11.9189283191312,11,5,"rigid"
"12",13,0.0833562050135254,0.10136846939208,17.7690996880753,11,10,"rigid"
"13",14,0.0991704169004025,0.121665326069449,18.4891701652172,11,15,"rigid"
"14",15,0.110547413330635,0.134850473546141,18.022228306963,11,20,"rigid"
"15",16,0.11821613918805,0.14226408845796,16.9037383436487,11,25,"rigid"
"16",17,0.123945274418452,0.149494521775158,17.0904238184273,11,30,"rigid"
"17",18,0.128964842677533,0.154127879635223,16.3260774217121,11,35,"rigid"
"18",19,0.139102911376541,0.162013466245735,14.1411423384055,11,40,"rigid"
"19",20,0.140746438218578,0.164090626751239,14.2263997614261,11,45,"rigid"
"20",21,0.139444114762512,0.162818411053705,14.3560523284327,11,50,"rigid"
"21",13,0.0559781923609088,0.0570741944318232,1.92031106496593,12,5,"rigid"
"22",14,0.0801664217078008,0.0912997528122992,12.1942620451417,12,10,"rigid"
"23",15,0.0973489073271784,0.114187093087104,14.7461375052969,12,15,"rigid"
"24",16,0.107807631190426,0.126669645436307,14.8907136993337,12,20,"rigid"
"25",17,0.117490601910245,0.135794026954527,13.4788145360851,12,25,"rigid"
