"","end_step","forecast_MSE","persistence_MSE","percent_improvement","start_step","forecast_horizon","method"
"103",23,0.0119342070574959,0.0169473948863197,0.295808757773774,20,15,"rigid"
"104",24,0.0206880623134282,0.0288268817589755,0.282334368094225,20,20,"rigid"
"105",25,0.0226365577881948,0.0327859266062617,0.30956480016424,20,25,"rigid"
"106",26,0.0250657143218916,0.0365322021625078,0.313873436635691,20,30,"rigid"
"107",27,0.0244417303496972,0.0369311865440024,0.33818182850487,20,35,"rigid"
"108",28,0.0277465754454575,0.0415657459017322,0.332465354740544,20,40,"rigid"
"109",29,0.030707900539882,0.0458861719708126,0.330780947266319,20,45,"rigid"
"110",30,0.0376499603758951,0.0539461458747058,0.302082479379711,20,50,"rigid"
"111",22,0.0070549775939183,0.0085874829979095,0.178458042288324,21,5,"rigid"
"112",23,0.012001792522076,0.0151605086324024,0.208351592081504,21,10,"rigid"
"113",24,0.0214808088171207,0.0272452029977911,0.21157464604458,21,15,"rigid"
"114",25,0.0238717497313406,0.0311513240882727,0.233684267683266,21,20,"rigid"
"115",26,0.0262737033532943,0.0348207658946117,0.245458775007588,21,25,"rigid"
"116",27,0.0258198023024744,0.0351938965106008,0.266355679181552,21,30,"rigid"
"117",28,0.0289940306696059,0.0398204908625252,0.271881635771297,21,35,"rigid"
"118",29,0.0316946922850024,0.0440849106760663,0.281053498828807,21,40,"rigid"
"119",30,0.037789262605378,0.0521425095800046,0.275269585032223,21,45,"rigid"
"120",31,0.0428925333814541,0.0595031874261167,0.279155701789717,21,50,"rigid"
"121",23,0.00300566700668707,0.00380361312829583,0.209786351738216,22,5,"rigid"
"122",24,0.0105817784331972,0.0166317224411588,0.363759317735471,22,10,"rigid"
"123",25,0.013045847047551,0.021609786034774,0.396299110664126,22,15,"rigid"
"124",26,0.0158015069574126,0.0263256878602561,0.399768505906044,22,20,"rigid"
"125",27,0.0149494536888825,0.0266996109691804,0.440087209280363,22,25,"rigid"
"126",28,0.0182966732955714,0.0321241215151478,0.430438174412216,22,30,"rigid"
"127",29,0.021504766528394,0.0371422901079116,0.421016677595405,22,35,"rigid"
"128",30,0.0301586089247408,0.0473354027948127,0.362874146112775,22,40,"rigid"
"129",31,0.0367613351276848,0.0553512794226582,0.335853922237677,22,45,"rigid"
"130",32,0.0412777523627318,0.0599890875401064,0.311912315133396,22,50,"rigid"
"131",24,0.00934473321560654,0.0110344217957841,0.153128873578415,23,5,"rigid"
"132",25,0.013316682841004,0.016878695399347,0.211036011615023,23,10,"rigid"
"133",26,0.0174142415976507,0.0224153997536456,0.223112601647069,23,15,"rigid"
"134",27,0.0189346421508409,0.0229024978573479,0.173249910608942,23,20,"rigid"
"135",28,0.0213650943573311,0.0288665571282628,0.25986690195164,23,25,"rigid"
"136",29,0.028239102904624,0.0340021057374459,0.169489586242748,23,30,"rigid"
"137",30,0.0327463950103766,0.0451029546952876,0.273963419212578,23,35,"rigid"
"138",31,0.044222384547616,0.0534869026583506,0.173210966615733,23,40,"rigid"
"139",32,0.0439536668308092,0.0586396720216056,0.250444872634781,23,45,"rigid"
"140",33,0.0537749698665486,0.0647299673319546,0.16924151080172,23,50,"rigid"
"141",25,0.00423883156624666,0.00398581739713106,-0.063478615276686,24,5,"rigid"
"142",26,0.00831180682015279,0.00995590551257899,0.165138036951931,24,10,"rigid"
"143",27,0.00958713193232173,0.0106904161181494,0.103203109554791,24,15,"rigid"
"144",28,0.0146295683590206,0.0178065828790412,0.178417978429765,24,20,"rigid"
"145",29,0.0177163285125477,0.0243032777329874,0.271031310788959,24,25,"rigid"
"146",30,0.0280999380559455,0.0359362354206284,0.218061165087554,24,30,"rigid"
"147",31,0.0321120549546686,0.0454682471486644,0.293747681768465,24,35,"rigid"
"148",32,0.0411605017096338,0.0512753415309295,0.19726518672127,24,40,"rigid"
"149",33,0.0425507930140024,0.0585976419117797,0.273848031665442,24,45,"rigid"
"150",34,0.0538887161475006,0.0672010219552118,0.198096776215451,24,50,"rigid"
"151",26,0.00439276084020947,0.00400866058660167,-0.0958176042370865,25,5,"rigid"
"152",27,0.00588330413909323,0.00464059494145474,-0.267790921921948,25,10,"rigid"
"153",28,0.0106581373155509,0.0119724441409456,0.109777653578672,25,15,"rigid"
"154",29,0.0151767174926096,0.0190527590247569,0.203437283131062,25,20,"rigid"
"155",30,0.0220453217683737,0.0310777253852149,0.290639147649408,25,25,"rigid"
"156",31,0.0306785128780731,0.0412296608618293,0.255911587997671,25,30,"rigid"
"157",32,0.0325732430126683,0.047690446484108,0.316985991659299,25,35,"rigid"
"158",33,0.0411041844609905,0.0556620006124624,0.261539578011727,25,40,"rigid"
"159",34,0.040658922630363,0.0641579031664346,0.366267901167404,25,45,"rigid"
"160",35,0.0496941216810984,0.0717812931823942,0.307700941597317,25,50,"rigid"
"161",27,0.00300660681179901,0.000568959354338339,-4.28439648434199,26,5,"rigid"
"162",28,0.00680972364042735,0.00580904481559385,-0.172262197417941,26,10,"rigid"
"163",29,0.0115797856206105,0.012855845987123,0.0992591516568108,26,15,"rigid"
"164",30,0.0190480757535978,0.0251480311056759,0.24256194556326,26,20,"rigid"
"165",31,0.025778278623709,0.0360004303671426,0.283945265075591,26,25,"rigid"
"166",32,0.0311991890853527,0.0431008384904402,0.276134985349005,26,30,"rigid"
"167",33,0.0346781598425615,0.0518217251114422,0.330818112133736,26,35,"rigid"
"168",34,0.041071755280157,0.0607351201412398,0.323756087340497,26,40,"rigid"
"169",35,0.0428014884178884,0.0686975214374628,0.376957311962823,26,45,"rigid"
"170",36,0.0471322315270838,0.0718596550200069,0.344107183454173,26,50,"rigid"
"171",28,0.00571693265874671,0.00499049046946706,-0.145565289368688,27,5,"rigid"
"172",29,0.0107721700184971,0.0120084066354426,0.102947597835064,27,10,"rigid"
"173",30,0.0200349053352565,0.0242624217517127,0.174241320990876,27,15,"rigid"
"174",31,0.0277195702475796,0.0353115709750557,0.215000367240504,27,20,"rigid"
"175",32,0.0321108433518576,0.0424886340839494,0.244248631565497,27,25,"rigid"
"176",33,0.0377528949071691,0.0511633732023254,0.262110909734676,27,30,"rigid"
"177",34,0.0412280006873234,0.0599513319821225,0.312308845788153,27,35,"rigid"
"178",35,0.0471574901551214,0.067853837031644,0.305013655555997,27,40,"rigid"
"179",36,0.0470625059470836,0.0709913843704103,0.337067358744175,27,45,"rigid"
"180",37,0.0520710889260674,0.0765748617386576,0.319997610915957,27,50,"rigid"
"181",29,0.0047544566172708,0.00462704741652536,-0.0275357456442746,28,5,"rigid"
"182",30,0.0131697077988931,0.0171568774816619,0.232394833327362,28,10,"rigid"
"183",31,0.0215945509203216,0.0290547904394582,0.256764526823264,28,15,"rigid"
"184",32,0.0267806897171111,0.0370387660753209,0.276955132288944,28,20,"rigid"
"185",33,0.0325965049066452,0.046748035217141,0.302719253221298,28,25,"rigid"
"186",34,0.0386893545777407,0.0563794802203053,0.313768867209127,28,30,"rigid"
"187",35,0.0428229060840613,0.0644631528307286,0.335699477862829,28,35,"rigid"
"188",36,0.0444474777470089,0.0675674302108571,0.34217599206745,28,40,"rigid"
"189",37,0.0467491186110342,0.0741378513397509,0.369429815320686,28,45,"rigid"
"190",38,0.0515395572885479,0.0794780436996263,0.351524586043752,28,50,"rigid"
"191",30,0.00925357412281672,0.0109632262475416,0.155944252733835,29,5,"rigid"
"192",31,0.0169592810473126,0.0226042942314074,0.249731892812269,29,10,"rigid"
"193",32,0.0223989982906262,0.0311845873427665,0.281728565318925,29,15,"rigid"
"194",33,0.0281069127302893,0.0412880052624008,0.319247501746347,29,20,"rigid"
"195",34,0.0341543668987696,0.0523446765563999,0.34751021219953,29,25,"rigid"
"196",35,0.0390438602108486,0.060407704165936,0.353660915442215,29,30,"rigid"
"197",36,0.0394146521940905,0.0630532403214689,0.37489886335516,29,35,"rigid"
"198",37,0.0438271532585405,0.0702474802505911,0.376103554146033,29,40,"rigid"
"199",38,0.0469108109059059,0.0765965926066585,0.387560081858942,29,45,"rigid"
"200",39,0.0574656213082712,0.0872593192628429,0.341438578781792,29,50,"rigid"
"201",4,0.00156991118987968,0.00178731806229964,0.12163860311479,3,5,"rigid"
"202",5,0.00314019432804694,0.00446979858420147,0.297464020158319,3,10,"rigid"
"203",6,0.00367575637887039,0.00601439851877624,0.388840568612951,3,15,"rigid"
"204",7,0.00499940190897395,0.00803086723338832,0.377476707846826,3,20,"rigid"
"205",8,0.00707591869493538,0.0105209559235283,0.327445267676553,3,25,"rigid"
"206",9,0.00928338397158336,0.0128222526945642,0.275994305156775,3,30,"rigid"
"207",10,0.0107704298938355,0.0141684620676124,0.239830699871404,3,35,"rigid"
"208",11,0.0118984378572857,0.014892473299745,0.201043532675703,3,40,"rigid"
"209",12,0.0123449273139501,0.0156322026023999,0.210288682411602,3,45,"rigid"
"210",13,0.0128072650008472,0.016235822572358,0.211172397100967,3,50,"rigid"
"211",31,0.00796332144728038,0.00896602798172906,0.11183397335944,30,5,"rigid"
"212",32,0.014532125934101,0.0188336536343565,0.228395816540268,30,10,"rigid"
"213",33,0.022139112193461,0.0314964228508858,0.297091218952872,30,15,"rigid"
"214",34,0.0308106977267152,0.0461440015997902,0.332292461457107,30,20,"rigid"
"215",35,0.0360364689950938,0.0556756629907613,0.352742885144024,30,25,"rigid"
"216",36,0.0376998915135414,0.0589065729121466,0.360005350001144,30,30,"rigid"
"217",37,0.0404317274653264,0.0656038966914777,0.383699299822556,30,35,"rigid"
"218",38,0.0452470702524511,0.0718918779069099,0.370623336463129,30,40,"rigid"
"219",39,0.0550127917593676,0.0844640195657507,0.348683711215719,30,45,"rigid"
"220",40,0.0609192792533389,0.0903177343371988,0.325500360472968,30,50,"rigid"
"221",32,0.00606574827122616,0.00581876939025732,-0.0424452086694432,31,5,"rigid"
"222",33,0.0133465490869445,0.0177759149073345,0.249177937871562,31,10,"rigid"
"223",34,0.0226749062187481,0.0353235472311334,0.358079581578293,31,15,"rigid"
"224",35,0.0284088341798002,0.0467314635851305,0.392083363106145,31,20,"rigid"
"225",36,0.0297102779759322,0.0514937047912544,0.423030871513867,31,25,"rigid"
"226",37,0.0341835686122166,0.0589469148430278,0.420095713181165,31,30,"rigid"
"227",38,0.0372594004646055,0.0649177198769851,0.426051923339117,31,35,"rigid"
"228",39,0.0482102176113141,0.0780902878146881,0.382634909404878,31,40,"rigid"
"229",40,0.0512031398092972,0.0844400225757724,0.393615275702349,31,45,"rigid"
"230",41,0.0585094747539659,0.0940449505780595,0.377856286867824,31,50,"rigid"
"231",33,0.00731684189268684,0.00809537553393418,0.0961701699919778,32,5,"rigid"
"232",34,0.0186887604576006,0.0273591540989167,0.316910150436979,32,10,"rigid"
"233",35,0.0259053781154326,0.0405217816404403,0.360704858801684,32,15,"rigid"
"234",36,0.0285892704309747,0.0468913878531225,0.390308716804786,32,20,"rigid"
"235",37,0.033816731305972,0.0554137441522029,0.389741086379422,32,25,"rigid"
"236",38,0.0383791611549342,0.061612922968109,0.377092348389325,32,30,"rigid"
"237",39,0.0484117406485509,0.0752867772530482,0.356968880659707,32,35,"rigid"
"238",40,0.0528627835034883,0.081676490788285,0.352778467912943,32,40,"rigid"
"239",41,0.0581110581659424,0.0917981163074144,0.366968947692352,32,45,"rigid"
"240",42,0.0642112867078693,0.0995356423993424,0.354891522674359,32,50,"rigid"
"241",34,0.0104744676984923,0.014501314819023,0.277688414518676,33,5,"rigid"
"242",35,0.0182056666605555,0.0287217097573273,0.366135692673692,33,10,"rigid"
"243",36,0.0216920381935294,0.0365704359337037,0.406842230897833,33,15,"rigid"
"244",37,0.0278581493828976,0.0468385047079215,0.4052297451292,33,20,"rigid"
"245",38,0.0326309336721712,0.0538774347827285,0.394348788063834,33,25,"rigid"
"246",39,0.0443852317585861,0.0691129403803878,0.357786956910008,33,30,"rigid"
"247",40,0.0480671009106163,0.0756350714591681,0.364486606764621,33,35,"rigid"
"248",41,0.0542334009355062,0.0858384444441391,0.368192174419009,33,40,"rigid"
"249",42,0.0596123838746236,0.0937640767615164,0.364230034214016,33,45,"rigid"
"250",43,0.0644652772098042,0.0996736754533805,0.353236680431675,33,50,"rigid"
"251",35,0.00779202438726157,0.0104769212311369,0.256267732155505,34,5,"rigid"
"252",36,0.0134531801139737,0.0204966786806439,0.343640971125815,34,10,"rigid"
"253",37,0.0216363370077738,0.0339880198597773,0.363412840846927,34,15,"rigid"
"254",38,0.0276961381595819,0.0425438136124956,0.348997285202301,34,20,"rigid"
"255",39,0.0406683326742921,0.060643590468088,0.329387782610058,34,25,"rigid"
"256",40,0.0451780133004731,0.0673166128937979,0.328872749855252,34,30,"rigid"
"257",41,0.0517039140469707,0.0776111109151216,0.333807834505603,34,35,"rigid"
"258",42,0.0578772774799366,0.0859364220009607,0.326510504716037,34,40,"rigid"
"259",43,0.0639690039542634,0.0930508431474517,0.312537084130492,34,45,"rigid"
"260",44,0.0686719574651059,0.098610642331263,0.30360500812462,34,50,"rigid"
"261",36,0.00613823907667355,0.0072447824751952,0.152736593860513,35,5,"rigid"
"262",37,0.0149401329157157,0.0215659237004366,0.307234268133236,35,10,"rigid"
"263",38,0.0217635211190076,0.0322434524343891,0.325025098869504,35,15,"rigid"
"264",39,0.0360808342150008,0.0539673517611111,0.331432189322273,35,20,"rigid"
"265",40,0.0411650363778264,0.0618872805006889,0.334838499207148,35,25,"rigid"
"266",41,0.0485581302292465,0.0726474647998042,0.331592226059658,35,30,"rigid"
"267",42,0.0551467973116648,0.0813559097312814,0.322153762476325,35,35,"rigid"
"268",43,0.0613239395093991,0.0889009659172538,0.310199401359964,35,40,"rigid"
"269",44,0.0664588729041844,0.0950089351068129,0.300498707521891,35,45,"rigid"
"270",45,0.0697767607179237,0.100004255058429,0.302262081976858,35,50,"rigid"
"271",37,0.00771451816133046,0.00930999623641135,0.171372580027582,36,5,"rigid"
"272",38,0.0142718301299158,0.0200712624567429,0.288942080216723,36,10,"rigid"
"273",39,0.0280067382932991,0.044197306791754,0.366324775732163,36,15,"rigid"
"274",40,0.0334178961494387,0.0533893380095388,0.374071726765594,36,20,"rigid"
"275",41,0.0410031322771912,0.0647782347760997,0.367023006741154,36,25,"rigid"
"276",42,0.047586163254263,0.0744182660273102,0.360558021644851,36,30,"rigid"
"277",43,0.0545604808678173,0.0833967760186672,0.345772301130625,36,35,"rigid"
"278",44,0.0590224700213011,0.0904098714575509,0.347167858224273,36,40,"rigid"
"279",45,0.063588382913266,0.0955652913827158,0.334607973321507,36,45,"rigid"
"280",46,0.0675685502230966,0.103858381282047,0.349416490137646,36,50,"rigid"
"281",38,0.00636402526325962,0.0068648999850154,0.0729616925008498,37,5,"rigid"
"282",39,0.0213880172631035,0.0334450869063885,0.360503462796562,37,10,"rigid"
"283",40,0.0267037134108534,0.0435950156576868,0.387459483429616,37,15,"rigid"
"284",41,0.0340264054344933,0.0560394161523207,0.392812991805515,37,20,"rigid"
"285",42,0.0405791527483625,0.0662580398594572,0.38755881045626,37,25,"rigid"
"286",43,0.0466309716090385,0.0755494736306444,0.38277569163468,37,30,"rigid"
"287",44,0.0518560290942705,0.0833983940931392,0.378213098008124,37,35,"rigid"
"288",45,0.055188971858283,0.0897112977241692,0.384815811850478,37,40,"rigid"
"289",46,0.061185668219519,0.0989780088596051,0.381825630516497,37,45,"rigid"
"290",47,0.0690129212172123,0.109280496269578,0.368479064672548,37,50,"rigid"
"291",39,0.0181729474814061,0.0237745955558746,0.235614862986991,38,5,"rigid"
"292",40,0.0248840903132385,0.0348070293697618,0.285084341760685,38,10,"rigid"
"293",41,0.0338020481561249,0.0491383761350537,0.312104900185913,38,15,"rigid"
"294",42,0.0411548644553553,0.0601633523247714,0.315947950619593,38,20,"rigid"
"295",43,0.0483418048374343,0.0702621460823537,0.311979386727339,38,25,"rigid"
"296",44,0.054123257053851,0.0784706390425242,0.310273782471416,38,30,"rigid"
"297",45,0.0583011026757249,0.08540736516251,0.317376170488439,38,35,"rigid"
"298",46,0.0640414113542879,0.0954843813240052,0.329299614593747,38,40,"rigid"
"299",47,0.0722481802508314,0.106094617497787,0.319021247686403,38,45,"rigid"
"300",48,0.072452684786614,0.107461245581452,0.325778475816222,38,50,"rigid"
"301",40,0.00791395735088914,0.00720178501005541,-0.0988883089177707,39,5,"rigid"
"302",41,0.0183352396946005,0.0220596043127558,0.1688318867987,39,10,"rigid"
"303",42,0.0276050237968869,0.0354336231191416,0.220937026279586,39,15,"rigid"
"304",43,0.0367480705502675,0.0487413919344728,0.24606029717676,39,20,"rigid"
"305",44,0.0445897326567614,0.0598598648560512,0.255098006586064,39,25,"rigid"
"306",45,0.0502972660301619,0.0687895497229618,0.268824025848031,39,30,"rigid"
"307",46,0.0576681933580002,0.0811187533919226,0.289089255608032,39,35,"rigid"
"308",47,0.0667577908901489,0.0936108709308732,0.286858564328003,39,40,"rigid"
"309",48,0.0682037267172553,0.0953467877536119,0.284677246877972,39,45,"rigid"
"310",49,0.0805030621749006,0.112641892085741,0.285318626274288,39,50,"rigid"
"311",5,0.00205185524111107,0.00216542928558899,0.052448743181669,4,5,"rigid"
"312",6,0.00296866619286675,0.00450370294477979,0.340838809915802,4,10,"rigid"
"313",7,0.00424224951416716,0.00708066038528369,0.400868099395903,4,15,"rigid"
"314",8,0.00626835981577727,0.00957221780704349,0.345150732867273,4,20,"rigid"
"315",9,0.00864532287563567,0.0119900070695579,0.278955981803731,4,25,"rigid"
"316",10,0.0101127956677583,0.0133557739356734,0.242814701980927,4,30,"rigid"
"317",11,0.0116101242636935,0.014326910159066,0.189628179782599,4,35,"rigid"
"318",12,0.0121314214142086,0.0150802294845003,0.195541326033704,4,40,"rigid"
"319",13,0.0127985743586132,0.0158428006885724,0.192152031058185,4,45,"rigid"
"320",14,0.0151971735050612,0.0181602582396171,0.163163138731794,4,50,"rigid"
"321",41,0.0114820054123522,0.0107362717504596,-0.0694592759223508,40,5,"rigid"
"322",42,0.022391452804888,0.0231630380367569,0.0333110549075854,40,10,"rigid"
"323",43,0.0331505358620241,0.0372191430866189,0.1093149085976,40,15,"rigid"
"324",44,0.0423684055436887,0.0492869147951019,0.140372130821643,40,20,"rigid"
"325",45,0.0486774147124522,0.0593041858823453,0.179190912273473,40,25,"rigid"
"326",46,0.0574645995505138,0.0725857207941966,0.208320880170852,40,30,"rigid"
"327",47,0.0670191843839371,0.0860256483198685,0.220939502429087,40,35,"rigid"
"328",48,0.069187489030494,0.0877626838924351,0.211652538847917,40,40,"rigid"
"329",49,0.0816262356604812,0.106553907037538,0.233944226637089,40,45,"rigid"
"330",50,0.086031317244571,0.112949130001102,0.23831801764448,40,50,"rigid"
"331",42,0.0100426736233513,0.00822590750600244,-0.220859050022523,41,5,"rigid"
"332",43,0.0221836616623935,0.0220441912752938,-0.006326854333548,41,10,"rigid"
"333",44,0.0326804747141407,0.034770591812288,0.0601116342635451,41,15,"rigid"
"334",45,0.0396222883329355,0.0460098516203345,0.138830338774142,41,20,"rigid"
"335",46,0.0499801570061548,0.0610501365496474,0.181326040679536,41,25,"rigid"
"336",47,0.0602664337416973,0.0759141528443511,0.206123871720426,41,30,"rigid"
"337",48,0.0633819420219713,0.0781538396900565,0.189010517290868,41,35,"rigid"
"338",49,0.075494472606881,0.0985182603381879,0.233700713474559,41,40,"rigid"
"339",50,0.0818591019182627,0.106093520782807,0.228425060133096,41,45,"rigid"
"340",51,0.0859282345239137,0.114396574520391,0.24885657735672,41,50,"rigid"
